course,rated_n,mean_usefulness_1_to_5,median_usefulness_1_to_5,very_useful_n,useful_n,somewhat_useful_n,not_useful_n,not_at_all_useful_n,did_not_take_or_remember_n
CSC 161: Art of Programming 1,2,5.0,5.0,2,0,0,0,0,2
BIOL 112 Perspectives in Biology I,1,5.0,5.0,1,0,0,0,0,3
MATH 141: Calculus I,1,5.0,5.0,1,0,0,0,0,3
CSC 173: Computation and Formal Systems1,1,5.0,5.0,1,0,0,0,0,3
CSC 242: Artificial Intelligence 1,1,5.0,5.0,1,0,0,0,0,3
BIOL 208: Intro to Programming for Biology,1,5.0,5.0,1,0,0,0,0,3
CSC 171: Science of Programming,2,4.5,4.5,1,1,0,0,0,2
"BIOL 110: Principles of Biology I,",4,4.0,4.0,1,2,1,0,0,0
MATH 161: Calculus IA,2,4.0,4.0,1,0,1,0,0,2
MATH 171: Honors Calculus I,2,3.5,3.5,1,0,0,1,0,2
LING 110: Introduction to Linguistic Analysis 1,3,3.3333333333333335,3.0,1,0,1,1,0,1
