sample,response_id,question_code,question,response,theme_code_1,theme_code_2,notes
Primary eligible sample,R_1Qg5iR6G4jMrbSQ,Q9,Were there any required or non-required BCS classes that you wanted to take but did not take?,No,,,
Primary eligible sample,R_1lE1Nmij6dPrMQr,Q19,"What did you dislike about being a BCS major? (e.g., required classes, professors, lack of career preparation etc.)",asdfasdc,,,
Primary eligible sample,R_1lE1Nmij6dPrMQr,Q29,Is there any course you believe should (or should not) be a required course?,df,,,
Primary eligible sample,R_1lE1Nmij6dPrMQr,Q9,Were there any required or non-required BCS classes that you wanted to take but did not take?,Yes,,,
Primary eligible sample,R_1lE1Nmij6dPrMQr,Q25,Which courses OUTSIDE the BCS department were most useful in preparing you for your current job/role? (Think allied field courses or related foundational courses),afa,,,
Primary eligible sample,R_1lE1Nmij6dPrMQr,Q27,"Looking back, what would you change about the BCS program? (e.g., requirements, track options, frequency of course offerings etc.)",asdfad,,,
Primary eligible sample,R_1lE1Nmij6dPrMQr,Q38,What was your favorite BCS course(s) or the course(s) you enjoyed the most?,asdfas,,,
Primary eligible sample,R_1lE1Nmij6dPrMQr,Q28,Please share anything else you feel is important about your experience.,asdfa,,,
Primary eligible sample,R_1lE1Nmij6dPrMQr,Q42,"Give us feedback on how it was taking the survey, in terms or format and content please!",asdfad,,,
Primary eligible sample,R_5Jw66GwOkGb0TkN,Q9,Were there any required or non-required BCS classes that you wanted to take but did not take?,Yes,,,
Primary eligible sample,R_1yFv04HFCID5wOZ,Q19,"What did you dislike about being a BCS major? (e.g., required classes, professors, lack of career preparation etc.)","Sometimes it feels too interdepartmental, and I want more hands on experience",,,
Primary eligible sample,R_1yFv04HFCID5wOZ,Q29,Is there any course you believe should (or should not) be a required course?,Bio 110–teach relevant information in BCS 110 and expand in BCS 240 if needed.,,,
Primary eligible sample,R_1yFv04HFCID5wOZ,Q9,Were there any required or non-required BCS classes that you wanted to take but did not take?,Yes,,,
Primary eligible sample,R_1yFv04HFCID5wOZ,Q38,What was your favorite BCS course(s) or the course(s) you enjoyed the most?,BCS 247 and 240,,,
Primary eligible sample,R_7kd0gCDrxhsU1d7,Q9,Were there any required or non-required BCS classes that you wanted to take but did not take?,Yes,,,
Primary eligible sample,R_5Ibo1Ooa4aNnO0G,Q19,"What did you dislike about being a BCS major? (e.g., required classes, professors, lack of career preparation etc.)",Some of the classes were boring and unnecessary for me (BCS 151/152),,,
Primary eligible sample,R_5Ibo1Ooa4aNnO0G,Q29,Is there any course you believe should (or should not) be a required course?,Child Development,,,
Primary eligible sample,R_5Ibo1Ooa4aNnO0G,Q9,Were there any required or non-required BCS classes that you wanted to take but did not take?,Yes,,,
